car_no,list_of_witnesses,response,violation_type
JO649959,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
AO938117,1. Ayush     2.Rashi,No comments,Caused accident
VN255987,1. Ayush     2.Rashi,No comments,Not followed signal rules
PW671466,1. Ayush     2.Rashi,Providing additional information,Caused accident
IQ667253,1. Ayush     2.Rashi,Providing additional information,Caused accident
SZ129136,1. Ayush     2.Rashi,Providing additional information,Not followed signal rules
TK664393,1. Ayush     2.Rashi,Challenging the record,Not followed signal rules
SJ654453,1. Ayush     2.Rashi,Providing additional information,Caused accident
TC816668,1. Khushi,Challenging the record,Not followed signal rules
GW478937,1. Khushi,Providing additional information,Caused accident
SN303364,1. Khushi,No comments,Caused accident
BG730815,1. Khushi,Challenging the record,Not followed signal rules
AW837434,1. Khushi,Challenging the record,Caused accident
BG326064,1. Khushi,Challenging the record,Not followed signal rules
TN781970,1. Khushi,Providing additional information,Caused accident
NC370762,1. Khushi,Providing additional information,Caused accident
LT425835,1. Khushi,No comments,Caused accident
KE776416,1. Khushi,Providing additional information,Caused accident
